y_token_train,y_list,GPT_ans,Hobert_ans,GPT,HeBERT
0,Positive,Negative,Negative,FALSE,FALSE
1,Positive,Positive,Positive,TRUE,TRUE
2,Positive,Positive,Positive,TRUE,TRUE
3,Positive,Positive,Positive,TRUE,TRUE
4,Positive,Positive,Positive,TRUE,TRUE
5,Positive,Positive,Positive,TRUE,TRUE
6,Positive,Negative,Positive,FALSE,TRUE
7,Positive,Negative,Positive,FALSE,TRUE
8,Positive,Positive,Positive,TRUE,TRUE
9,Negative,Negative,Negative,TRUE,TRUE
10,Positive,Positive,Positive,TRUE,TRUE
11,Negative,Neutral,Negative,FALSE,TRUE
12,Negative,Negative,Negative,TRUE,TRUE
13,Positive,Positive,Positive,TRUE,TRUE
14,Negative,Negative,Negative,TRUE,TRUE
15,Positive,Positive,Positive,TRUE,TRUE
16,Positive,Neutral,Positive,FALSE,TRUE
17,Positive,Positive,Positive,TRUE,TRUE
18,Negative,Neutral,Negative,FALSE,TRUE
19,Positive,Positive,Positive,TRUE,TRUE
20,Positive,Neutral,Positive,FALSE,TRUE
21,Negative,Negative,Negative,TRUE,TRUE
22,Positive,Neutral,Negative,FALSE,FALSE
23,Negative,Negative,Negative,TRUE,TRUE
24,Negative,Negative,Positive,TRUE,FALSE
25,Positive,Positive,Positive,TRUE,TRUE
26,Positive,Neutral,Negative,FALSE,FALSE
27,Positive,Positive,Positive,TRUE,TRUE
28,Positive,Positive,Positive,TRUE,TRUE
29,Positive,Negative,Positive,FALSE,TRUE
30,Negative,Negative,Negative,TRUE,TRUE
31,Positive,Positive,Positive,TRUE,TRUE
32,Positive,Neutral,Negative,FALSE,FALSE
33,Positive,Neutral,Negative,FALSE,FALSE
34,Positive,Positive,Positive,TRUE,TRUE
35,Positive,Positive,Positive,TRUE,TRUE
36,Positive,Positive,Positive,TRUE,TRUE
37,Negative,Negative,Negative,TRUE,TRUE
38,Negative,Neutral,Negative,FALSE,TRUE
39,Negative,Neutral,Negative,FALSE,TRUE
40,Positive,Positive,Positive,TRUE,TRUE
41,Positive,Positive,Positive,TRUE,TRUE
42,Positive,Neutral,Positive,FALSE,TRUE
43,Positive,Positive,Negative,TRUE,FALSE
44,Negative,Negative,Negative,TRUE,TRUE
45,Negative,Positive,Positive,FALSE,FALSE
46,Positive,Negative,Negative,FALSE,FALSE
47,Negative,Neutral,Negative,FALSE,TRUE
48,Positive,Neutral,Positive,FALSE,TRUE
49,Neutral,Negative,Negative,FALSE,FALSE
50,Positive,Neutral,Negative,FALSE,FALSE
51,Positive,Neutral,Positive,FALSE,TRUE
52,Negative,Negative,Negative,TRUE,TRUE
53,Positive,Neutral,Negative,FALSE,FALSE
54,Positive,Positive,Positive,TRUE,TRUE
55,Positive,Neutral,Positive,FALSE,TRUE
56,Positive,Positive,Positive,TRUE,TRUE
57,Positive,Positive,Negative,TRUE,FALSE
58,Negative,Negative,Negative,TRUE,TRUE
59,Positive,Positive,Positive,TRUE,TRUE
60,Positive,Neutral,Positive,FALSE,TRUE
61,Positive,Positive,Positive,TRUE,TRUE
62,Positive,Positive,Positive,TRUE,TRUE
63,Negative,Negative,Negative,TRUE,TRUE
64,Positive,Positive,Positive,TRUE,TRUE
65,Positive,Positive,Positive,TRUE,TRUE
66,Positive,Neutral,Negative,FALSE,FALSE
67,Negative,Negative,Positive,TRUE,FALSE
68,Positive,Positive,Positive,TRUE,TRUE
69,Positive,Positive,Positive,TRUE,TRUE
70,Positive,Neutral,Negative,FALSE,FALSE
71,Negative,Negative,Negative,TRUE,TRUE
72,Negative,Negative,Negative,TRUE,TRUE
73,Positive,Neutral,Positive,FALSE,TRUE
74,Neutral,Neutral,Neutral,TRUE,TRUE
75,Positive,Positive,Positive,TRUE,TRUE
76,Positive,Positive,Positive,TRUE,TRUE
77,Negative,Negative,Negative,TRUE,TRUE
78,Neutral,Negative,Negative,FALSE,FALSE
79,Positive,Positive,Positive,TRUE,TRUE
80,Negative,Negative,Negative,TRUE,TRUE
81,Positive,Positive,Positive,TRUE,TRUE
